"AA_matrix"	"Uniform CU"	"CU mean"	"CU low"	"CU high"
"Uniform"	"0.420289855072464"	"0.411642003549995"	"0.40333911628319"	"0.426111389864526"
"EXS"	"0.421021985694865"	"0.412174114875026"	"0.399912311002156"	"0.432746451234956"
"U"	"0.398686399112893"	"0.384925539581448"	"0.365772317201593"	"0.411000045680425"
"BLOSUM62"	"0.732577157171793"	"0.669108437824007"	"0.488435166175821"	"0.872941455686794"
"PAM250"	"0.520794262657305"	"0.429337367009875"	"0.336401741348571"	"0.535816336260006"
"LG"	"0.518942595043865"	"0.506949237294333"	"0.463594879502512"	"0.588507903383234"
