0.472																		
0.483	0.481																	
0.477	0.478	0.494																
0.487	0.471	0.473	0.467															
0.482	0.489	0.490	0.486	0.476														
0.477	0.486	0.492	0.491	0.469	0.492													
0.491	0.466	0.481	0.477	0.479	0.476	0.474												
0.479	0.492	0.488	0.484	0.476	0.497	0.491	0.474											
0.474	0.476	0.468	0.463	0.484	0.476	0.468	0.466	0.477										
0.474	0.475	0.467	0.462	0.484	0.474	0.467	0.465	0.475	0.499									
0.472	0.496	0.482	0.480	0.469	0.490	0.489	0.467	0.492	0.473	0.472								
0.477	0.478	0.471	0.465	0.486	0.478	0.470	0.468	0.479	0.497	0.496	0.475							
0.469	0.476	0.465	0.460	0.479	0.473	0.466	0.461	0.475	0.494	0.494	0.473	0.492						
0.499	0.473	0.483	0.477	0.487	0.482	0.476	0.491	0.479	0.475	0.474	0.472	0.478	0.470					
0.495	0.474	0.487	0.482	0.482	0.484	0.480	0.492	0.481	0.472	0.471	0.474	0.475	0.467	0.495				
0.491	0.481	0.487	0.480	0.486	0.489	0.482	0.484	0.487	0.480	0.479	0.480	0.482	0.475	0.492	0.491			
0.460	0.474	0.459	0.455	0.468	0.468	0.462	0.452	0.470	0.484	0.483	0.471	0.482	0.489	0.461	0.459	0.467		
0.470	0.481	0.468	0.463	0.477	0.476	0.470	0.462	0.478	0.492	0.491	0.477	0.491	0.495	0.470	0.469	0.477	0.490	
0.482	0.477	0.474	0.468	0.492	0.480	0.472	0.474	0.480	0.492	0.491	0.474	0.494	0.486	0.483	0.479	0.486	0.476	0.485
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

miyata_a=0.5_b=0.1.dat: Miyata converted by new = 0.5*exp(-0.1*old/max)																		
