0.506																		
0.400	0.788																	
0.714	0.782	0.835																
0.452	0.777	0.795	0.707															
0.411	0.593	0.659	0.748	0.459														
0.431	0.737	0.747	0.448	0.629	0.411													
0.474	0.828	0.568	0.776	0.725	0.596	0.668												
0.558	0.730	0.774	0.717	0.650	0.506	0.529	0.715											
0.615	0.934	0.871	0.870	0.540	0.796	0.813	0.910	0.813										
0.597	0.833	0.817	0.818	0.512	0.653	0.782	0.842	0.652	0.444									
0.389	0.474	0.675	0.771	0.636	0.408	0.675	0.542	0.546	0.799	0.821								
0.447	0.951	0.555	0.665	0.630	0.348	0.722	0.824	0.684	0.532	0.262	0.716							
0.697	0.862	0.840	0.816	0.803	0.579	0.786	0.907	0.690	0.667	0.608	0.755	0.619						
0.611	0.841	0.691	0.801	0.648	0.716	0.719	0.773	0.636	0.901	0.860	0.775	0.929	0.770					
0.301	0.631	0.519	0.704	0.530	0.424	0.553	0.541	0.532	0.833	0.774	0.616	0.561	0.720	0.645				
0.463	0.703	0.694	0.813	0.639	0.632	0.802	0.678	0.779	0.846	0.781	0.564	0.850	0.722	0.840	0.341			
0.964	0.968	0.940	0.958	0.921	0.955	0.966	0.884	0.908	0.987	0.890	0.915	0.211	0.640	0.860	0.950	1.000		
0.611	0.668	0.812	0.841	0.855	0.515	0.696	0.768	0.807	0.615	0.642	0.709	0.634	0.552	0.759	0.765	0.743	0.692	
0.496	0.854	0.848	0.853	0.496	0.638	0.803	0.769	0.755	0.000	0.640	0.783	0.214	0.808	0.807	0.600	0.476	0.759	0.827
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

max-exs-exp0.27: exp(EX/0.27) normlized to 0-1 scale																		
