0.376																		
0.420	0.410																	
0.397	0.398	0.469																
0.437	0.371	0.379	0.356															
0.415	0.448	0.454	0.433	0.393														
0.393	0.434	0.460	0.458	0.364	0.461													
0.458	0.353	0.413	0.397	0.403	0.393	0.381												
0.405	0.462	0.441	0.423	0.390	0.485	0.455	0.381											
0.385	0.392	0.360	0.339	0.427	0.389	0.359	0.352	0.394										
0.382	0.387	0.356	0.335	0.426	0.384	0.354	0.350	0.388	0.493									
0.375	0.481	0.418	0.409	0.364	0.451	0.447	0.354	0.463	0.379	0.374								
0.395	0.400	0.370	0.349	0.434	0.400	0.369	0.361	0.404	0.486	0.480	0.387							
0.365	0.393	0.349	0.330	0.402	0.380	0.352	0.334	0.387	0.471	0.470	0.379	0.462						
0.497	0.377	0.420	0.396	0.439	0.415	0.393	0.455	0.405	0.387	0.384	0.375	0.397	0.367					
0.476	0.383	0.440	0.417	0.418	0.426	0.409	0.460	0.414	0.375	0.372	0.384	0.385	0.357	0.473				
0.458	0.410	0.436	0.409	0.434	0.448	0.418	0.424	0.440	0.406	0.402	0.407	0.417	0.388	0.459	0.458			
0.331	0.384	0.326	0.311	0.361	0.358	0.336	0.303	0.367	0.423	0.422	0.369	0.416	0.449	0.333	0.326	0.355		
0.367	0.411	0.358	0.340	0.396	0.393	0.365	0.336	0.401	0.460	0.456	0.395	0.457	0.477	0.369	0.361	0.394	0.451	
0.418	0.395	0.382	0.359	0.460	0.406	0.374	0.382	0.407	0.460	0.458	0.384	0.471	0.435	0.420	0.405	0.435	0.391	0.431
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

miyata_a=0.5_b=0.5.dat: Miyata converted by new = 0.5*exp(-0.5*old/max)																		
