0.035																		
0.021	0.163																	
0.104	0.157	0.224																
0.027	0.152	0.171	0.100															
0.022	0.054	0.076	0.127	0.028														
0.024	0.119	0.126	0.026	0.065	0.022													
0.030	0.214	0.048	0.151	0.111	0.055	0.080												
0.045	0.114	0.149	0.106	0.073	0.035	0.039	0.104											
0.060	0.500	0.293	0.293	0.041	0.171	0.192	0.406	0.193										
0.055	0.221	0.198	0.200	0.036	0.074	0.157	0.237	0.073	0.026									
0.020	0.030	0.083	0.146	0.067	0.022	0.083	0.042	0.043	0.176	0.204								
0.026	0.590	0.045	0.079	0.065	0.016	0.109	0.209	0.087	0.040	0.010	0.105							
0.094	0.274	0.233	0.197	0.181	0.050	0.161	0.396	0.091	0.080	0.058	0.133	0.062						
0.059	0.235	0.091	0.177	0.072	0.105	0.107	0.149	0.068	0.375	0.269	0.150	0.477	0.145					
0.012	0.066	0.037	0.098	0.039	0.023	0.044	0.042	0.040	0.221	0.149	0.061	0.046	0.107	0.071				
0.028	0.098	0.092	0.193	0.068	0.066	0.179	0.085	0.154	0.244	0.156	0.047	0.251	0.109	0.234	0.015			
0.673	0.701	0.530	0.634	0.446	0.617	0.687	0.325	0.398	0.857	0.341	0.422	0.007	0.069	0.271	0.584	1.000		
0.059	0.080	0.191	0.235	0.259	0.037	0.094	0.143	0.185	0.060	0.070	0.101	0.067	0.044	0.136	0.141	0.123	0.091	
0.033	0.258	0.246	0.256	0.033	0.068	0.180	0.145	0.132	0.000	0.069	0.158	0.007	0.186	0.185	0.056	0.030	0.136	0.213
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr

max - exs-exp-0.1: (exp(EX/-0.1)-(0.01))/-0.56																		
