1																		
1	1																	
1	1	1																
1	1	1	1															
1	1	1	1	1														
1	1	1	1	1	1													
1	1	1	1	1	1	1												
1	1	1	1	1	1	1	1											
1	1	1	1	1	1	1	1	1										
1	1	1	1	1	1	1	1	1	1									
1	1	1	1	1	1	1	1	1	1	1								
1	1	1	1	1	1	1	1	1	1	1	1							
1	1	1	1	1	1	1	1	1	1	1	1	1						
1	1	1	1	1	1	1	1	1	1	1	1	1	1					
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr
